pm4cnc,pm4cnt,pm25raw,dt_time,pm2.5cnc,temp,rh,o3op1,o3op2,no2op1,no2op2,pm10cnc,PM10,pres,altd,pm1cnc,pm0.3cnt,pm0.5cnt,pm1cnt,pm2.5cnt,pm5cnt,pm10cnt,lat,lon,no,nox,nh3,co,co2,benzene,deviceid,aqi
0,0,0,23-09-21 16:58,15,24,55,0,0,0,0,15,0,97535,319,12,1929,595,53,2,1,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 16:59,11,24,55,0,0,0,0,15,0,97533,320,7,1263,387,97,9,1,1,0,0,0,0,0,0,0,0,3123708,18.33333333
0,0,0,23-09-21 16:59,17,24,55,0,0,0,0,18,0,97535,320,11,2019,592,93,11,1,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 17:00,20,24,54,0,0,0,0,29,0,97527,320,14,2446,748,142,17,9,7,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 17:00,13,24,54,0,0,0,0,16,0,97531,320,11,2106,602,77,7,4,1,0,0,0,0,0,0,0,0,3123708,21.66666667
0,0,0,23-09-21 17:01,15,25,54,0,0,0,0,16,0,97532,320,11,2091,610,78,6,1,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 17:01,18,25,54,0,0,0,0,21,0,97529,320,12,2153,646,108,12,3,3,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 17:02,18,25,53,0,0,0,0,20,0,97532,320,13,2253,639,99,12,1,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 17:02,15,25,53,0,0,0,0,16,0,97527,320,12,2076,614,72,9,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 17:03,19,25,53,0,0,0,0,20,0,97529,320,15,2565,758,102,4,0,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 17:03,14,25,53,0,0,0,0,14,0,97532,320,12,2068,597,71,0,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:04,18,25,52,0,0,0,0,19,0,97533,320,13,2318,678,109,9,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 17:04,17,25,52,0,0,0,0,17,0,97537,320,12,2195,624,80,11,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 17:05,14,25,51,0,0,0,0,15,0,97539,319,11,2095,610,79,2,2,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:05,15,25,51,0,0,0,0,18,0,97541,319,11,2072,582,85,9,5,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 17:06,16,26,51,0,0,0,0,16,0,97542,319,12,2127,629,93,7,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 17:06,14,26,51,0,0,0,0,15,0,97541,319,11,1989,557,79,7,2,2,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:07,14,26,51,0,0,0,0,14,0,97542,319,11,2197,646,70,5,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:07,16,26,50,0,0,0,0,18,0,97543,319,12,2188,632,108,5,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 17:08,16,26,50,0,0,0,0,18,0,97540,319,12,1935,562,112,13,1,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 17:08,14,26,50,0,0,0,0,14,0,97539,319,11,2047,587,53,7,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:09,15,26,49,0,0,0,0,17,0,97542,319,12,2098,594,93,11,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 17:09,14,26,49,0,0,0,0,14,0,97545,319,11,1894,550,64,9,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:10,14,26,49,0,0,0,0,15,0,97547,319,13,2081,612,64,3,1,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 17:10,10,26,48,0,0,0,0,11,0,97545,319,5,910,282,104,7,1,0,0,0,0,0,0,0,0,0,3123708,16.66666667
0,0,0,23-09-21 18:12,14,30,42,0,0,0,0,15,0,97654,309,10,1860,545,95,3,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:13,16,30,42,0,0,0,0,18,0,97659,309,10,2044,592,107,12,3,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:13,15,30,42,0,0,0,0,15,0,97659,309,11,2137,617,91,4,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:14,14,30,42,0,0,0,0,16,0,97660,309,11,2172,647,71,11,1,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:14,14,30,42,0,0,0,0,16,0,97659,309,11,2002,580,84,9,2,1,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:15,14,30,42,0,0,0,0,14,0,97665,309,11,2143,612,63,6,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:15,13,30,42,0,0,0,0,16,0,97665,309,10,1951,557,56,8,4,2,0,0,0,0,0,0,0,0,3123708,21.66666667
0,0,0,23-09-21 18:16,14,31,42,0,0,0,0,15,0,97666,308,11,2094,586,91,4,1,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:16,15,31,42,0,0,0,0,17,0,97666,308,12,2048,597,93,7,1,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:17,19,31,43,0,0,0,0,22,0,97671,308,13,2338,677,113,16,3,3,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 18:17,15,31,42,0,0,0,0,16,0,97669,308,11,1992,591,87,13,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:18,14,31,42,0,0,0,0,14,0,97672,308,11,2041,591,74,9,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:18,16,31,42,0,0,0,0,20,0,97673,308,12,2236,653,104,9,4,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:19,15,31,42,0,0,0,0,16,0,97673,308,12,2099,620,78,9,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:19,14,31,42,0,0,0,0,14,0,97673,308,11,2068,554,80,6,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:20,17,31,42,0,0,0,0,18,0,97672,308,13,2281,661,90,7,1,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:20,15,31,42,0,0,0,0,15,0,97674,308,11,2196,627,82,5,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:21,18,31,42,0,0,0,0,20,0,97674,308,12,2137,632,102,12,1,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:21,12,31,42,0,0,0,0,14,0,97674,308,11,2003,579,62,3,2,2,0,0,0,0,0,0,0,0,3123708,20
0,0,0,23-09-21 18:22,17,31,42,0,0,0,0,22,0,97675,308,12,2332,690,100,11,7,5,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:22,16,31,42,0,0,0,0,16,0,97674,308,12,2100,620,82,6,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:23,15,31,42,0,0,0,0,17,0,97675,307,12,2129,613,95,4,1,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:23,17,31,42,0,0,0,0,23,0,97679,307,13,2309,661,117,12,6,4,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:24,16,31,42,0,0,0,0,16,0,97677,307,12,2252,651,116,1,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:24,16,31,42,0,0,0,0,20,0,97678,307,11,2247,643,97,12,4,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:25,18,31,42,0,0,0,0,22,0,97681,307,13,2466,709,99,14,5,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:25,16,31,42,0,0,0,0,18,0,97683,307,13,2214,657,87,4,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:26,14,31,42,0,0,0,0,16,0,97682,307,10,1983,562,85,6,2,1,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:26,15,31,42,0,0,0,0,18,0,97682,307,13,2136,636,85,9,3,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:27,16,31,42,0,0,0,0,18,0,97682,307,12,2194,638,105,5,2,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:27,17,31,42,0,0,0,0,17,0,97686,307,12,2245,657,91,10,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:28,17,31,42,0,0,0,0,19,0,97686,307,11,2098,612,105,19,2,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:28,15,31,42,0,0,0,0,18,0,97687,307,11,2061,603,90,13,5,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:29,17,31,42,0,0,0,0,19,0,97686,306,14,2317,680,118,9,1,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:29,14,31,42,0,0,0,0,16,0,97688,307,11,1943,554,70,10,1,1,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:30,14,31,42,0,0,0,0,14,0,97687,306,10,2065,587,72,4,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:30,15,31,43,0,0,0,0,18,0,97686,306,12,2072,600,86,12,1,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:31,19,31,42,0,0,0,0,21,0,97686,307,12,2161,645,130,13,0,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 18:31,16,31,42,0,0,0,0,17,0,97687,306,12,2212,620,82,9,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:32,14,31,42,0,0,0,0,14,0,97686,307,11,2081,604,83,3,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:32,19,31,43,0,0,0,0,21,0,97685,307,14,2605,756,97,6,2,2,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 18:33,8,31,43,0,0,0,0,10,0,97685,307,3,789,257,98,6,1,0,0,0,0,0,0,0,0,0,3123708,13.33333333
0,0,0,23-09-21 18:33,15,31,43,0,0,0,0,17,0,97686,306,12,2199,619,107,6,3,2,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:34,17,31,42,0,0,0,0,18,0,97685,307,13,2225,647,96,9,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:34,15,31,42,0,0,0,0,16,0,97685,307,11,2152,635,107,4,1,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:35,16,31,42,0,0,0,0,20,0,97683,307,12,2376,679,99,13,5,3,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:35,15,31,42,0,0,0,0,18,0,97685,307,11,2053,588,114,12,1,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:36,17,31,42,0,0,0,0,18,0,97685,307,11,2271,646,107,13,1,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:36,16,31,42,0,0,0,0,18,0,97685,307,10,2059,590,110,13,3,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:37,16,31,43,0,0,0,0,16,0,97685,307,12,2169,635,89,4,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:37,18,31,42,0,0,0,0,19,0,97685,307,12,2274,657,120,11,1,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:38,16,31,42,0,0,0,0,21,0,97685,307,13,2357,679,99,10,4,4,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:38,18,31,42,0,0,0,0,21,0,97686,307,12,2253,663,113,8,4,3,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:39,18,31,42,0,0,0,0,22,0,97687,307,13,2247,653,113,17,4,4,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:39,15,31,42,0,0,0,0,15,0,97686,306,13,2314,637,81,2,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:40,18,31,42,0,0,0,0,18,0,97689,307,12,2439,666,99,13,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:40,17,31,43,0,0,0,0,18,0,97689,306,13,2388,674,70,8,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:41,18,31,43,0,0,0,0,22,0,97690,306,11,2175,665,106,18,5,3,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:41,17,31,43,0,0,0,0,17,0,97690,306,13,2376,695,90,6,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:42,16,31,42,0,0,0,0,23,0,97690,306,13,2372,666,89,13,9,5,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:42,18,31,42,0,0,0,0,18,0,97689,306,12,2025,595,105,10,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:43,17,31,43,0,0,0,0,19,0,97689,306,13,2354,673,104,2,1,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:43,15,31,42,0,0,0,0,16,0,97691,306,11,1997,554,85,9,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:44,14,31,42,0,0,0,0,15,0,97687,307,11,1987,599,64,7,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:44,18,31,42,0,0,0,0,24,0,97688,307,13,2386,686,118,18,7,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:45,16,31,42,0,0,0,0,18,0,97689,306,12,2156,621,82,9,2,2,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:45,13,31,42,0,0,0,0,13,0,97689,306,11,2061,588,47,1,0,0,0,0,0,0,0,0,0,0,3123708,21.66666667
0,0,0,23-09-21 18:46,19,31,42,0,0,0,0,19,0,97688,307,15,2548,753,81,6,0,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 18:46,16,31,42,0,0,0,0,16,0,97687,306,12,2115,612,87,6,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:47,16,31,42,0,0,0,0,17,0,97687,306,13,2264,665,94,4,1,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:47,16,32,42,0,0,0,0,17,0,97687,306,12,2201,662,77,8,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:48,15,32,42,0,0,0,0,16,0,97689,306,12,2108,615,69,4,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:48,15,32,42,0,0,0,0,16,0,97690,306,12,2230,635,89,3,2,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:49,18,32,42,0,0,0,0,21,0,97688,306,12,2294,671,108,13,4,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:49,17,32,42,0,0,0,0,21,0,97690,306,12,2106,619,107,16,5,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:50,20,32,42,0,0,0,0,21,0,97690,306,14,2431,706,113,11,1,0,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 18:50,16,32,42,0,0,0,0,16,0,97692,306,11,2134,603,91,11,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:51,18,32,41,0,0,0,0,20,0,97693,306,13,2342,674,126,12,1,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:51,15,32,41,0,0,0,0,18,0,97690,306,13,2292,640,87,7,5,1,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:52,14,32,41,0,0,0,0,16,0,97693,306,11,2120,601,72,9,1,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 18:52,16,32,41,0,0,0,0,16,0,97691,306,13,2182,631,101,4,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:53,16,32,41,0,0,0,0,16,0,97689,306,13,2313,658,91,4,1,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:53,17,32,41,0,0,0,0,19,0,97691,306,12,2168,635,96,16,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:54,15,32,41,0,0,0,0,16,0,97691,306,11,2162,620,82,7,1,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:54,18,32,41,0,0,0,0,19,0,97688,306,14,2405,710,98,7,2,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:55,17,32,41,0,0,0,0,19,0,97689,306,13,2420,712,95,6,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:55,17,32,41,0,0,0,0,21,0,97691,306,13,2308,678,97,12,3,3,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:56,18,32,41,0,0,0,0,22,0,97692,306,13,2396,670,116,13,3,2,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:56,18,32,41,0,0,0,0,19,0,97693,306,12,2198,622,119,13,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 18:57,15,32,41,0,0,0,0,19,0,97691,306,14,2301,675,84,7,3,3,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 18:57,17,32,41,0,0,0,0,17,0,97692,306,12,2148,615,102,9,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:58,16,32,41,0,0,0,0,19,0,97691,306,14,2368,666,86,5,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 18:58,17,32,41,0,0,0,0,19,0,97693,306,13,2290,657,108,6,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:59,17,32,41,0,0,0,0,19,0,97692,306,14,2406,702,77,5,2,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 18:59,17,32,41,0,0,0,0,24,0,97694,306,14,2379,701,95,15,8,5,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:00,21,32,41,0,0,0,0,22,0,97696,306,15,2468,726,111,12,2,0,0,0,0,0,0,0,0,0,3123708,35
0,0,0,23-09-21 19:00,19,32,41,0,0,0,0,20,0,97698,306,13,2268,705,138,11,0,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:01,20,32,41,0,0,0,0,24,0,97697,306,13,2539,724,145,12,4,4,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 19:01,18,32,41,0,0,0,0,19,0,97698,306,14,2367,690,100,7,1,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:02,19,32,41,0,0,0,0,20,0,97698,306,15,2482,759,129,6,1,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:02,18,32,41,0,0,0,0,20,0,97701,305,12,2347,681,116,10,2,2,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:03,17,32,41,0,0,0,0,20,0,97700,305,12,2441,703,111,8,3,3,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:03,19,32,41,0,0,0,0,22,0,97702,305,13,2410,700,116,13,3,3,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:04,16,32,41,0,0,0,0,17,0,97699,306,12,2191,643,92,9,1,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:04,16,32,41,0,0,0,0,18,0,97701,305,12,2230,654,93,6,4,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:05,19,32,40,0,0,0,0,22,0,97704,305,13,2476,736,129,13,3,1,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:05,17,32,40,0,0,0,0,21,0,97703,305,12,2364,688,115,11,4,3,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:06,17,32,40,0,0,0,0,17,0,97704,305,14,2434,693,87,3,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:06,16,32,40,0,0,0,0,19,0,97706,305,12,2315,649,94,6,3,1,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:07,18,32,40,0,0,0,0,20,0,97706,305,12,2370,688,105,8,2,2,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:07,17,32,40,0,0,0,0,18,0,97708,305,12,2219,633,120,6,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:08,15,32,40,0,0,0,0,16,0,97706,305,12,2175,637,92,3,0,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 19:08,16,32,40,0,0,0,0,17,0,97707,305,13,2387,667,97,4,1,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:09,16,32,40,0,0,0,0,17,0,97710,305,14,2365,670,79,8,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:09,16,32,40,0,0,0,0,18,0,97712,304,12,2237,629,94,10,2,2,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:10,19,32,40,0,0,0,0,21,0,97715,304,13,2429,698,129,6,2,1,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:10,14,32,40,0,0,0,0,14,0,97718,304,11,2132,592,61,7,0,0,0,0,0,0,0,0,0,0,3123708,23.33333333
0,0,0,23-09-21 19:11,15,32,40,0,0,0,0,15,0,97718,304,12,2088,605,71,3,1,0,0,0,0,0,0,0,0,0,3123708,25
0,0,0,23-09-21 19:11,20,32,40,0,0,0,0,24,0,97721,304,15,2531,757,121,13,3,1,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 19:12,16,32,40,0,0,0,0,19,0,97725,303,13,2371,674,111,9,1,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:12,20,32,40,0,0,0,0,20,0,97725,303,14,2520,706,124,9,0,0,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 19:13,19,32,40,0,0,0,0,19,0,97726,303,15,2511,758,94,2,0,0,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:13,17,32,40,0,0,0,0,24,0,97729,303,13,2345,662,95,20,7,5,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:14,18,32,40,0,0,0,0,18,0,97730,303,13,2289,664,96,7,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:14,17,32,40,0,0,0,0,19,0,97731,303,13,2410,689,85,13,1,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:15,18,32,40,0,0,0,0,20,0,97732,303,14,2493,724,100,6,3,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:15,18,32,40,0,0,0,0,22,0,97732,303,14,2615,777,110,10,3,2,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:16,17,32,40,0,0,0,0,17,0,97732,303,13,2328,671,87,4,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:16,16,32,40,0,0,0,0,16,0,97736,302,13,2314,661,66,6,0,0,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:17,23,32,40,0,0,0,0,25,0,97734,303,15,2757,804,164,8,2,1,0,0,0,0,0,0,0,0,3123708,38.33333333
0,0,0,23-09-21 19:17,18,32,40,0,0,0,0,21,0,97734,303,13,2329,666,87,15,3,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:18,16,32,40,0,0,0,0,19,0,97735,303,13,2244,665,101,6,4,2,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:18,18,32,40,0,0,0,0,20,0,97736,302,14,2453,724,107,6,2,2,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:19,16,32,40,0,0,0,0,20,0,97733,303,14,2344,667,72,5,5,4,0,0,0,0,0,0,0,0,3123708,26.66666667
0,0,0,23-09-21 19:19,18,32,40,0,0,0,0,19,0,97731,303,13,2294,657,98,14,1,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:20,21,32,41,0,0,0,0,25,0,97735,303,15,2706,779,134,8,4,2,0,0,0,0,0,0,0,0,3123708,35
0,0,0,23-09-21 19:20,17,32,40,0,0,0,0,20,0,97732,303,14,2489,726,106,5,3,3,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:21,17,32,41,0,0,0,0,20,0,97733,303,13,2422,703,98,13,3,1,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:21,20,32,41,0,0,0,0,21,0,97732,303,15,2596,731,99,14,0,0,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 19:22,17,32,41,0,0,0,0,19,0,97732,303,12,2484,699,101,10,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:22,17,32,41,0,0,0,0,19,0,97733,303,12,2455,698,106,9,2,2,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:23,18,32,41,0,0,0,0,20,0,97732,303,13,2346,692,117,6,0,0,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:23,21,32,41,0,0,0,0,22,0,97732,303,16,2611,788,114,11,0,0,0,0,0,0,0,0,0,0,3123708,35
0,0,0,23-09-21 19:24,18,32,41,0,0,0,0,20,0,97733,303,16,2676,745,106,2,2,1,0,0,0,0,0,0,0,0,3123708,30
0,0,0,23-09-21 19:24,20,32,41,0,0,0,0,21,0,97734,303,15,2599,766,74,16,1,1,0,0,0,0,0,0,0,0,3123708,33.33333333
0,0,0,23-09-21 19:25,19,32,41,0,0,0,0,21,0,97735,303,16,2642,782,96,7,2,2,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:25,19,32,41,0,0,0,0,22,0,97734,302,15,2601,746,102,10,5,1,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:26,19,32,41,0,0,0,0,20,0,97735,303,15,2648,749,89,8,2,2,0,0,0,0,0,0,0,0,3123708,31.66666667
0,0,0,23-09-21 19:26,17,32,41,0,0,0,0,17,0,97732,303,13,2341,694,100,6,0,0,0,0,0,0,0,0,0,0,3123708,28.33333333
0,0,0,23-09-21 19:27,21,32,41,0,0,0,0,24,0,97733,303,14,2736,770,144,10,3,2,0,0,0,0,0,0,0,0,3123708,35
